
2649195,3066543,3173722,3271875,3763300,3763300,3763300,3763300,3763300,3763300,3763300,3763300,3763300,3763300,3763300,3763300,3763300,3763300,3763300,3763300
2233052,2917139,2977113,3206521,3308776,3308776,3308776,3308776,3308776,3308776,3308776,3308776,3308776,3308776,3308776,3308776,3308776,3308776,3308776,3308776
3001501,3123069,3128679,3185275,3499545,3499545,3499545,3499545,3499545,3499545,3499545,3499545,3499545,3499545,3499545,3499545,3499545,3499545,3499545,3499545
2128441,2190944,2448573,2766394,2874749,2874749,2874749,2874749,2874749,2874749,2874749,2874749,2874749,2874749,2874749,2874749,2874749,2874749,2874749,2874749
1690901,2717828,2962749,3204157,3373927,3435132,3459361,3685235,3729027,3985986,4027076,4254178,4295269,4309383,4450770,4561171,4804851,4840220,4896369,4965614
2264643,2279413,2451029,2459304,2536514,2618459,3483688,3540874,3659101,3665605,3673625,3741982,3885086,4074277,4083498,4236520,4327980,4354301,4406678,4741373
2664051,2763824,3273289,3283404,3593768,3878961,3911910,3942060,4084445,4190544,4366321,4605421,4832763,4947191,5121309,5290416,5444667,5532682,5574955,5621196
2350170,2769660,2883673,3338081,3475194,3492949,3666101,3704505,3887480,3943127,3951116,4199399,4244038,4446425,4576533,4595040,4603841,4610567,4633846,4814043
2496936,2704315,2740546,3095268,3365159,3397905,3542843,3568006,3662854,3663985,3682555,4209683,4250852,4300480,4312967,4325492,4442352,4549646,4671800,4819526
2094896,2793500,3326990,3359644,3658827,3659427,3964105,4091086,4140619,4232258,4283595,4333904,4339272,4374619,4387944,4473061,4474859,4514660,4787202,4829098
2461100,2746906,3041301,3073076,3103355,3117407,3660879,3726147,3779577,3896028,4130650,4143565,4199453,4330849,4424306,4578852,4628155,4720008,4723243,4729582
